Disease_Label,Symptom_Text
Viêm phổi,"tôi bị tức ngực, buồn nôn, khó chịu trong người, cơ thể mệt lả"
Viêm phổi,"dấu hiệu ho dai dẳng, mất ngủ, ớn lạnh, chán ăn, khó thở, buồn nôn"
Viêm phổi,"ớn lạnh, khó chịu trong người, đau đầu, ho có đờm, mất ngủ"
Viêm phổi,"có triệu chứng sốt cao, chán ăn, buồn nôn, lừ đừ, ớn lạnh"
Viêm phổi,"ớn lạnh, mệt mỏi, mất ngủ, ho dai dẳng, lừ đừ"
Viêm phổi,"cảm thấy lừ đừ, khó chịu trong người, cơ thể mệt lả, đau đầu, ớn lạnh"
Viêm phổi,"hay bị đau ngực, lừ đừ, ho dai dẳng, khó chịu trong người, mệt mỏi, suy nhược"
Viêm phổi,"dấu hiệu ớn lạnh, tức ngực, thở dốc, sốt, lừ đừ"
Viêm phổi,"lừ đừ, thở dốc, ớn lạnh, đau đầu"
Viêm phổi,"đau đầu, mệt mỏi, khó thở, lạnh run, lừ đừ"
Viêm phổi,"tự nhiên bị khó chịu trong người, suy nhược, ho ra máu, lạnh run, buồn nôn, đau đầu"
Viêm phổi,"buồn nôn, đau đầu, sốt, khó thở, mất ngủ"
Viêm phổi,"ho dai dẳng, lạnh run, chán ăn, sốt, khó chịu trong người, buồn nôn"
Viêm phổi,"tôi bị mất ngủ, đau ngực, đau đầu"
Viêm phổi,"bác sĩ ơi tôi bị ho ra máu, khó chịu trong người, suy nhược"
Viêm phổi,"khó chịu trong người, ho ra máu, lừ đừ, lạnh run"
Viêm phổi,"chán ăn, ho dai dẳng, tức ngực, mệt mỏi"
Viêm phổi,"cảm thấy buồn nôn, ho có đờm, mệt mỏi, cơ thể mệt lả"
Viêm phổi,"sốt cao, thở dốc, ớn lạnh, khó chịu trong người"
Viêm phổi,"sốt cao, mệt mỏi, ho có đờm, suy nhược"
Viêm phổi,"thở dốc, suy nhược, lạnh run, ớn lạnh"
Viêm phổi,"cháu bị buồn nôn, suy nhược, khó chịu trong người, thở dốc, lừ đừ"
Viêm phổi,"buồn nôn, suy nhược, lừ đừ, khó thở, tức ngực"
Viêm phổi,"có triệu chứng ớn lạnh, mệt mỏi, tức ngực"
Viêm phổi,"ớn lạnh, sốt, suy nhược, thở dốc, chán ăn"
Viêm phổi,"suy nhược, lạnh run, khó thở, đau đầu, khó chịu trong người, chán ăn"
Viêm phổi,"mình đang tức ngực, lừ đừ, đau đầu"
Viêm phổi,"cháu bị buồn nôn, đau ngực, sốt, khó chịu trong người"
Viêm phổi,"sốt, mất ngủ, ớn lạnh, chán ăn, đau ngực"
Viêm phổi,"thở dốc, khó chịu trong người, sốt, cơ thể mệt lả, buồn nôn, ớn lạnh"
Viêm phổi,"lừ đừ, ho dai dẳng, khó chịu trong người, thở dốc, sốt"
Viêm phổi,"lạnh run, lừ đừ, mất ngủ, mệt mỏi, đau đầu"
Viêm phổi,"chán ăn, suy nhược, đau đầu, ho ra máu, buồn nôn"
